session_key,user_key,group_code,registration_date,user_platform,event_platform,session_start_time,session_day,session_end_time,duration_mins,plans_count,accounts_count,banking_usage,budgets_created,budgeting_usage,library_views,library_banking_views,library_budgeting_views,library_investing_views,credit_usage,dashboard_visits,goals_created,goal_module_usage,internship_submissions,investing_usage,logins,onboarding_info_completed,onboarding_avatar_done,onboarding_hobbies_set,onboarding_questions_answered,qa_interactions,saving_entries,settings_visits,signups,summerjob_usage,tax_module_usage,tuition_fees_recorded
abbda36b-1938-429c-9450-7e3aaa25d597,960a601a-c9db-422b-a6b4-cb1978709a37,group_3,2126-02-03 11:01:23.212946,Desktop,Desktop,2127-07-22 19:08:36.282476,2127-07-22,2127-07-22 19:43:36.282476,35,1,3,1,3,1,1,5,3,0,1,0,1,0,0,0,3,5,0,1,5,0,2,3,1,0,0,1
d81dbd15-1a3f-4b9c-9659-7f22184d32c0,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Desktop,2126-10-06 15:20:30.357759,2126-10-06,2126-10-06 15:55:30.357759,35,1,3,1,2,0,5,1,0,5,0,0,2,1,2,0,5,3,2,1,0,0,4,0,0,1,0,1
b6274258-a082-4e6f-9f8e-00dd5ffa9e65,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Desktop,2126-10-11 05:57:36.578634,2126-10-11,2126-10-11 07:45:36.578634,108,2,1,0,1,0,4,0,4,5,1,4,2,0,3,0,4,2,2,5,1,3,0,4,2,0,0,2
c1be7968-9735-49ef-8656-bbc7d6fa97d9,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Tablet,2126-10-05 04:44:26.599725,2126-10-05,2126-10-05 05:33:26.599725,49,2,5,2,0,0,2,4,0,5,0,2,0,2,3,0,5,1,4,2,3,0,5,4,5,1,1,4
c2d7528a-d10d-42b4-960e-32b36a466f30,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Mobile,2127-12-18 10:19:57.657697,2127-12-18,2127-12-18 11:31:57.657697,72,1,3,0,5,2,5,0,1,1,0,5,2,0,3,0,3,2,5,4,4,1,3,0,2,0,0,5
87bb4819-d8a3-41c6-a551-97682362cdf1,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Desktop,2127-03-18 22:17:57.515315,2127-03-18,2127-03-18 23:01:57.515315,44,0,5,0,5,1,1,1,2,1,0,0,1,1,5,0,4,0,2,0,0,2,0,2,2,1,0,1
5ff64bdd-e1df-4113-9b1b-407028346d4a,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Desktop,2127-05-27 18:45:31.882776,2127-05-27,2127-05-27 19:06:31.882776,21,2,3,1,0,0,4,2,4,4,1,0,5,1,4,1,0,2,2,5,5,2,3,1,0,0,1,0
211dbb86-bbb7-440e-9fd8-41e3a86468aa,730f1518-9e6b-4e01-88e4-abce6c4b8390,group_3,2126-08-27 10:23:18.345950,Mobile,Tablet,2127-05-23 19:51:01.450537,2127-05-23,2127-05-23 20:35:01.450537,44,0,4,0,0,0,3,3,2,5,1,1,1,2,3,1,0,3,1,1,0,3,1,0,1,3,0,4
dcd087d2-e859-4a2d-bc2c-dce07617448b,1aabbddf-ba95-4569-ac5a-2990e1281f30,group_3,2124-08-01 19:14:14.137053,Desktop,Desktop,2127-12-13 09:49:41.710781,2127-12-13,2127-12-13 11:19:41.710781,90,2,3,0,1,0,3,2,0,0,0,0,4,0,3,0,2,4,0,5,5,4,5,1,2,0,1,2
fe3e9093-ba74-451b-8f2d-768e62048615,1aabbddf-ba95-4569-ac5a-2990e1281f30,group_3,2124-08-01 19:14:14.137053,Desktop,Desktop,2126-12-16 00:24:43.582558,2126-12-16,2126-12-16 00:45:43.582558,21,4,4,1,5,0,2,0,5,1,1,2,2,0,1,1,3,1,3,0,3,0,1,1,5,1,1,0
